new entry "Dome_OdinWater_PrismaticBubble"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Water"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "5"
data "AIFlags" "CanNotUse"
data "Lifetime" "2"
data "TargetConditions" "Ally;!Dead"
data "AuraSelf" "DEFLECTING;WET"
data "AuraAllies" "DEFLECTING;WET"
data "AuraEnemies" "WET;OdinWater_DAMPENED;"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "MemorizationRequirements" "WaterSpecialist 5;"
data "Icon" "OBHYDRO_Skill_PrismaticBubble"
data "DisplayName" "Dome_OdinWater_PrismaticBubble_DisplayName"
data "DisplayNameRef" "Prismatic Bubble"
data "Description" "Dome_OdinWater_PrismaticBubble_Description"
data "DescriptionRef" "Blow a giant bubble at target location, lasting 2 turns. <br><br>Whilst in the bubble, <font color="#88a25b">allies</font> become <font color="#4197e2">Wet</font> and gain <font color="#dbdbdb">Deflecting</font>, providing [1] and deflecting all projectiles back to their origin. <br><br>Whilst in the bubble, <font color="#aa3938">enemies</font> become <font color="#4197e2">Dampened</font>, reducing <font color="#c80030">damage dealt by [2]%</font>."
data "StatsDescriptionParams" "Potion:Stats_Deflecting:PhysicalResistance;Potion:Stats_OdinWater_Dampened:DamageBoost;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01:Dummy_Root;OdinWater_Prepare_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_beam_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_AoE_Water_Root_01;OdinWater_Prepare_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "DomeEffect" "OdinWater_Dome_01"
data "CycleConditions" "Ally;!Dead"
